ubicacion,telefono,email,direccion,municipio,horario,departamentopais,codigo_postal,latitud,longitud,column10
BOGOTA D.C.,(1)2095658,veintedejulio.bogota@4-72.com.co,Calle 25 Sur No. 6 - 38,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110421,-74.09403833,4.570348282,
BOGOTA D.C.,(1)2556768,sietedeagosto.bogota@4-72.com.co,Cra 24 No. 66A - 30,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 5 p.m.,BOGOTA D.C.,111221,-74.07030168,4.657842306,
BOGOTA D.C.,(1)2351559,avenidachile.bogota@4-72.com.co,Calle 72 No. 14 - 42,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,111211,-74.06218718,4.659679314,
BOGOTA D.C.,(1)2137920,cientocuatro.bogota@4-72.com.co,Cra 15 No. 104 - 21,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110111,-74.04689242,4.688986754,
BOGOTA D.C.,(1)6917292,callenoventa.bogota@4-72.com.co,Calle 90 No. 14 - 53,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110221,-74.05273333,4.674195294,
BOGOTA D.C.,(1)2848645,centrointernacional.bogota@4-72.com.co,Cra 10 No. 26 - 21 Local 16 Hotel Crowne Plaza Tequendama,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110311,-74.07058964,4.61246851,
BOGOTA D.C.,(1)2559009,Chapinero.bogota@4-72.com.co,Calle 67 No. 8 - 39,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110231,-74.0593732,4.651417751,
BOGOTA D.C.,(1)5308697,chico.bogota@4-72.com.co,Cra 15 No. 85 - 61,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110221,-74.05499371,4.670630936,
BOGOTA D.C.,(1)3462645,galerias.bogota@4-72.com.co,Calle 53 No. 21 - 72,BOGOTA D.C.,De 8:00 a.m. a 06:00 p.m. Jornado continua,BOGOTA D.C.,111311,-74.07297437,4.641646731,
BOGOTA D.C.,(1)2739642,kennedy.bogota@4-72.com.co,Cra78K No. 35A - 85 Sur - Local 6,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110851,-74.15233422,4.625228038,
BOGOTA D.C.,(1)2859133,soledad.bogota@4-72.com.co,Cra 19 No. 39B - 31,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,111311,-74.07265972,4.629409823,
BOGOTA D.C.,(1)2830533,murillotoro.bogota@4-72.com.co,Cra 8 No. 12A - 03,BOGOTA D.C.,De 8:00 a.m. a 06:00 p.m. Jornado continua,BOGOTA D.C.,111711,-74.07549562,4.60008395,
BOGOTA D.C.,(1)4722005 Ext. 1901,principal.bogota@4-72.com.co,Diag. 25G No. 95A - 55,BOGOTA D.C.,De 8:00 a.m. a 06:00 p.m. Jornado continua,BOGOTA D.C.,110911,-74.12313911,4.682441702,
BOGOTA D.C.,(1)4405734,admquirigua.bogota@4-72.com.co,Transv. 94 No. 80A - 70 Segundo Piso,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 5 p.m.,BOGOTA D.C.,111021,-74.10667614,4.706995961,
BOGOTA D.C.,(1 )2725603,restrepo.bogota@4-72.com.co,Calle 15 Sur No. 18 - 59,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,111511,-74.09960066,4.586595367,
BOGOTA D.C.,(1)2353669,rosales.bogota@4-72.com.co,Av. 7 No. 70 - 34,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110231,-74.05632717,4.653079572,
BOGOTA D.C.,(1) 5707523,salitre.bogota@4-72.com.co,Cra 69 No. 24A -15 Local 16,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110931,-74.11027326,4.655613273,
BOGOTA D.C.,(1)5611205,sanandresito.bogota@4-72.com.co,Calle 13 No. 38 - 25 Estación Biomax,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,111611,-74.09869878,4.620196282,
BOGOTA D.C.,(1)3415875,sanvictorino.bogota@4-72.com.co,Cra: 12A No 10 - 12,BOGOTA D.C.,De 8:00 a.m. a 12 p.m. y de 1 p.m. a 5 p.m.,BOGOTA D.C.,110321,-74.08067633,4.600637362,
BOGOTA D.C.,(1)6200190,santabarbara.bogota@4-72.com.co,Cra 7 No. 115 - 60 C.C. Santa Barbara Local A 101-102,BOGOTA D.C.,De 9:00 a.m. a 6:00 p.m. Jornada Continua,BOGOTA D.C.,110111,-74.03327664,4.69300183,
BOGOTA D.C.,(1)6814385,suba.bogota@4-72.com.co,Cra 92 No. 146B - 58,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,111156,-74.08500721,4.740587345,
BOGOTA D.C.,(1)6710122,toberin.bogota@4-72.com.co,Cra 21 No. 169 - 62 Local 1 24,BOGOTA D.C.,De 9:00 a.m. a 12 p.m. y de 1 p.m. a 6 p.m.,BOGOTA D.C.,110131,-74.04379021,4.750219914,
